,url,name,description,image,contentRating,genre,duration,Language,Budget,First Day Collection Worldwide,Worldwide Collection,Overseas Collection,India Gross Collection,Verdict,ratingValue,ratingCount,Comedy,Crime,History,Sci-Fi,Family,War,Mystery,Biography,Action,Thriller,Adventure,Drama,Horror,Musical,Romance
0,https://www.imdb.com/title/tt15354916/,Jawan,A prison warden recruits inmates to commit outrageous crimes that shed light on corruption and injustice - and that lead him to an unexpected reunion.,https://m.media-amazon.com/images/M/MV5BOWI5NmU3NTUtOTZiMS00YzA1LThlYTktNDJjYTU5NDFiMDUxXkEyXkFqcGdeQXVyMTUzNjEwNjM2._V1_.jpg,Not Rated,"Action, Crime, Drama",PT2H49M,0.0,285.0,129.6,1150.7,386.4,764.3cr,All Time Blockbuster,6.9,99782.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,https://www.imdb.com/title/tt12844910/,Pathaan,"An Indian agent races against a doomsday clock as a ruthless mercenary, with a bitter vendetta, mounts an apocalyptic attack against the country.",https://m.media-amazon.com/images/M/MV5BYTgzNjBjYTctOGJiZi00MTliLTk0YzYtNDJmYTQyMDdkMjQ5XkEyXkFqcGdeQXVyNTkzNDQ4ODc@._V1_.jpg,Not Rated,"Action, Adventure, Thriller",PT2H26M,0.0,250.0,104.8,1042.2,393.4,648.8cr,All Time Blockbuster,5.8,158182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2,https://www.imdb.com/title/tt13751694/,Animal,The hardened son of a powerful industrialist returns home after years abroad and vows to take bloody revenge on those threatening his father&apos;s life.,https://m.media-amazon.com/images/M/MV5BNGViM2M4NmUtMmNkNy00MTQ5LTk5MDYtNmNhODAzODkwOTJlXkEyXkFqcGdeQXVyMTY1NDY4NTIw._V1_.jpg,Not Rated,"Action, Crime, Drama",PT3H24M,0.0,140.0,115.9,910.4,250.6,659.8cr,Blockbuster,6.1,97797.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
3,https://www.imdb.com/title/tt15441054/,Gadar 2,"When Tara Singh goes missing during a skirmish and is believed to be captured in Pakistan, his son Jeetey sets out to rescue him and enters a labyrinth from which they both must escape at all costs.",https://m.media-amazon.com/images/M/MV5BODJkYjUzODctYmE0NS00NmJiLTljZGMtYmMxYzUxOTliZGY1XkEyXkFqcGc@._V1_.jpg,Not Rated,"Action, Adventure, Drama",PT2H50M,0.0,80.0,53.7,690.2,65.5,624.7cr,Blockbuster,5.1,22638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
4,https://www.imdb.com/title/tt13927994/,Salaar: Part 1 - Ceasefire,"The fate of a violently contested kingdom hangs on the fraught bond between two friends-turned-foes in this saga of power, bloodshed and betrayal.",https://m.media-amazon.com/images/M/MV5BYWM5OGZjYTktYWNiNy00ZGMyLTlhMjEtNzY3MDY4MjhlZTljXkEyXkFqcGdeQXVyMTUwMDg3OTQy._V1_.jpg,Not Rated,"Action, Crime, Drama",PT2H55M,6.0,250.0,165.3,625.6,137.8,487.8cr,Hit,6.6,69122.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5,https://www.imdb.com/title/tt15654328/,Leo,"Parthiban is a mild-mannered cafe owner in Kashmir, who fends off a gang of murderous thugs and gains attention from a drug cartel claiming he was once a part of them.",https://m.media-amazon.com/images/M/MV5BMmFiOGYyZjQtZmZmNC00ZTgzLWI5ZjktMTRiYzc5NjAzODRkXkEyXkFqcGdeQXVyMTYyNDkzNzgz._V1_.jpg,Not Rated,"Action, Crime, Drama",PT2H44M,5.0,225.0,142.8,615.6,203.7,411.9cr,Blockbuster,7.2,62590.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
6,https://www.imdb.com/title/tt11663228/,Jailer,"A retired jailer goes on a manhunt to find his son&apos;s killers. But the road leads him to a familiar, albeit a bit darker place. Can he emerge from this complex situation successfully?",https://m.media-amazon.com/images/M/MV5BNzFkNmZkMTctYjRhMS00ODZiLWFlNjQtZmZmN2IzMDJlNmVkXkEyXkFqcGdeQXVyMTY1MzAyNjU4._V1_.jpg,Not Rated,"Action, Comedy, Crime",PT2H48M,5.0,200.0,91.2,605.8,192.3,413.5cr,Blockbuster,7.1,37203.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,https://www.imdb.com/title/tt18411490/,Tiger 3,Tiger and Zoya are back - to save the country and their family. This time it&apos;s personal.,https://m.media-amazon.com/images/M/MV5BYzQwMGZlYTUtODUwNi00ZjQxLWEzODAtZGU3Zjc0MmNhMzhkXkEyXkFqcGdeQXVyNTkzNDQ4ODc@._V1_.jpg,Not Rated,"Action, Adventure, Thriller",PT2H35M,0.0,250.0,94.8,466.4,123.5,342.9cr,Hit,5.7,54035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
8,https://www.imdb.com/title/tt15428134/,Dunki,"When his friends in Punjab struggle to clear the immigration process, an ex-soldier guides them on a risky journey to enter the UK without permission.",https://m.media-amazon.com/images/M/MV5BMzQ0NDRhNmItYzllYS00NDdlLTk0YTctZDQ5YmFkYjdkNDcyXkEyXkFqcGdeQXVyNTYwMzA0MTM@._V1_.jpg,Not Rated,"Action, Adventure, Comedy",PT2H40M,0.0,175.0,58.2,436.8,195.6,241.2cr,Average,6.6,77892.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
9,https://www.imdb.com/title/tt12915716/,Adipurush,A modern adaptation of the Indian epic Ramayana which follows the exiled prince Raghav&apos;s journey to rescue his wife Janaki from the demon king Lankesh.,https://m.media-amazon.com/images/M/MV5BMTIwZWI0Y2YtZGJhZC00MjU4LTliZTUtODVjZjk4Y2FlYzI1XkEyXkFqcGdeQXVyMTE0MTY2Mzk2._V1_.jpg,,"Action, Adventure, Drama",PT2H59M,6.0,375.0,136.8,397.8,52.3,345.5cr,Average,2.7,133902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
