,@type,url,name,description,image,contentRating,genre,duration,Language,Budget,Worldwide Gross,Worldwide Share,Domestic Nett,Verdict,aggregateRating.@type,aggregateRating.bestRating,aggregateRating.worstRating,aggregateRating.ratingValue,aggregateRating.ratingCount,alternateName
0,Movie,https://www.imdb.com/title/tt5080556/,2.0,"After mobiles start mysteriously flying out of the hands of people in Chennai, Dr Vaseegaran summons his trusted robot Chitti to ward off the bird-shaped supernatural powers of Pakshirajan.",https://m.media-amazon.com/images/M/MV5BMjU0ZDA3ZDYtMzVkMS00Y2Y3LWFiOGQtNmMwNzQ4MDY2NzVhXkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_.jpg,Not Rated,"Action, Sci-Fi, Thriller",PT2H28M,Tamil,375cr,660.3cr,298.3cr,406.6cr,Below Average,AggregateRating,10,1,6.0,27821,
1,Movie,https://www.imdb.com/title/tt6452574/,Sanju,"Biopic of the controversial life of actor Sanjay Dutt: his film career, jail sentence, and personal life.",https://m.media-amazon.com/images/M/MV5BZWM1NDdhMTEtNWViZi00ZmM0LWJjZmEtZDVkN2RlYWM1ZDZjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,TV-MA,"Biography, Comedy, Drama",PT2H35M,Hindi,100cr,580.1cr,235.9cr,334.6cr,Blockbuster,AggregateRating,10,1,7.6,62506,
2,Movie,https://www.imdb.com/title/tt5935704/,Padmaavat,"Set in medieval Rajasthan, Queen Padmavati is married to a noble king and they live in a prosperous fortress with their subjects until an ambitious Sultan hears of Padmavati&apos;s beauty and forms an obsessive love for the Queen of Me...",https://m.media-amazon.com/images/M/MV5BOWZjMjkwM2QtZTJiMy00MmI5LWI2YjEtMmY5NjNiYTE2NTBiXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_.jpg,Not Rated,"Drama, History, Romance",PT2H43M,Hindi,175cr,560.7cr,226.3cr,295.2cr,Blockbuster,AggregateRating,10,1,7.1,37675,
3,Movie,https://www.imdb.com/title/tt8108198/,Andhadhun,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",https://m.media-amazon.com/images/M/MV5BZWZhMjhhZmYtOTIzOC00MGYzLWI1OGYtM2ZkN2IxNTI4ZWI3XkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg,Not Rated,"Crime, Mystery, Thriller",PT2H19M,Hindi,30cr,410.2cr,120.1cr,73.1cr,Blockbuster,AggregateRating,10,1,8.2,104958,
4,Movie,https://www.imdb.com/title/tt7212726/,Simmba,Simmba enjoys all the perks of being an amoral and unethical police officer until a life-changing event forces him to choose the righteous path.,https://m.media-amazon.com/images/M/MV5BMWIzNGU3ZWEtNTRjOC00OTYzLWFlZmUtMjE5NmMxMmE0MGIwXkEyXkFqcGdeQXVyNjE1OTQ0NjA@._V1_.jpg,Not Rated,"Action, Crime, Drama",PT2H38M,Hindi,125cr,387.6cr,159.8cr,239.8cr,Blockbuster,AggregateRating,10,1,5.5,22332,
5,Movie,https://www.imdb.com/title/tt5970844/,Thugs of Hindostan,A story about one man&apos;s love for his nation and another&apos;s love for power. An epic adventure filled with edge-of-the-seat thrills and war on the seas.,https://m.media-amazon.com/images/M/MV5BOTI0OTcyMzItYjRiNC00OTBjLWEzYzUtMTg5YTU1OWY2MGZlXkEyXkFqcGdeQXVyNTkzNDQ4ODc@._V1_.jpg,Not Rated,"Action, Adventure",PT2H44M,Hindi,235cr,307.4cr,118.9cr,144.1cr,Disaster,AggregateRating,10,1,4.1,22169,
6,Movie,https://www.imdb.com/title/tt7431594/,Race 3,Relationships and loyalties of a criminal family planning its next big heist are tested when some shocking revelations strike them.,https://m.media-amazon.com/images/M/MV5BMzQ4ZTc5ZTItYWRhNi00YTJjLWI4NGMtNjA0ODQ1ZDQxNzkyXkEyXkFqcGdeQXVyNjc4NjAxMzM@._V1_.jpg,Not Rated,"Action, Crime, Thriller",PT2H40M,Hindi,150cr,301.5cr,122.9cr,166.2cr,Average,AggregateRating,10,1,1.9,48890,
7,Movie,https://www.imdb.com/title/tt6843812/,Baaghi 2,"A battle-hardened army officer squares off against drug lords and Russian henchmen to save his ex-lover&apos;s kidnapped daughter in the underbelly of Goa, India.",https://m.media-amazon.com/images/M/MV5BZWMwNzkzNDEtYTI0Ni00NDNiLWIxNDgtYTc0MDcxMzAzYTE2XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,Not Rated,"Action, Crime, Drama",PT2H17M,Hindi,50cr,251.1cr,100.6cr,160.7cr,Blockbuster,AggregateRating,10,1,4.8,11867,
8,Movie,https://www.imdb.com/title/tt7715202/,Sarkar,"An NRI businessman learns his vote has been cast by someone else and decides to investigate the matter, eventually finding himself pitted against two corrupt politicians.",https://m.media-amazon.com/images/M/MV5BZDM5YjJlZjQtOGFiOS00MDc4LTk1N2ItYzc4ZmM4MmU3MmNjXkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_.jpg,Not Rated,"Action, Drama",PT2H43M,Tamil,100cr,249.3cr,126.1cr,147.6cr,Above Average,AggregateRating,10,1,6.7,22212,
9,Movie,https://www.imdb.com/title/tt7725596/,Badhaai ho,A man is embarrassed when he finds out his mother is pregnant.,https://m.media-amazon.com/images/M/MV5BNjk5NjcyZTItMzE4OC00OWY5LWJmMTUtNzZjNmMwODFkNjkxXkEyXkFqcGc@._V1_.jpg,Not Rated,"Comedy, Drama",PT2H4M,Hindi,25cr,221.4cr,82.6cr,134.5cr,Super Blockbuster,AggregateRating,10,1,7.9,38456,Badhaai Ho
